"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.19 ***","0.31 ","0.25 ","0.22 **","0.02 "
"","(0.41)","(0.25)","(0.18)","(0.09)","(0.10)"
"Bloomberg #","0.01 ","0.01 ","0.01 ","0.02 ","0.00 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.07)"
"Americas","-0.78 *","-1.07 **","-1.05 **","-1.12 **","-1.08 **"
"","(0.45)","(0.44)","(0.44)","(0.44)","(0.44)"
"African","-1.46 ***","-1.60 ***","-1.57 ***","-1.67 ***","-1.67 ***"
"","(0.47)","(0.47)","(0.47)","(0.46)","(0.47)"
"European","-1.27 ***","-1.11 **","-1.10 **","-1.24 ***","-1.13 **"
"","(0.47)","(0.47)","(0.47)","(0.48)","(0.48)"
"Western Pacific","-0.82 *","-0.73 ","-0.76 ","-0.80 *","-0.71 "
"","(0.46)","(0.47)","(0.47)","(0.47)","(0.47)"
"South-East Asia","-1.68 ***","-1.56 ***","-1.51 ***","-1.63 ***","-1.54 ***"
"","(0.48)","(0.48)","(0.48)","(0.48)","(0.49)"
"Control of Corruption","-0.41 ","-0.41 ","-0.41 ","-0.30 ","-0.40 "
"","(0.25)","(0.26)","(0.26)","(0.26)","(0.26)"
"Rule of Law","0.88 ***","0.86 ***","0.87 ***","0.72 ***","0.85 ***"
"","(0.26)","(0.26)","(0.26)","(0.27)","(0.27)"
"GDP pp","-0.15 ","-0.11 ","-0.11 ","-0.10 ","-0.11 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Ratif.","0.08 *","0.08 *","0.09 **","0.07 *","0.08 *"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.04 ","0.03 ","0.03 ","0.03 ","0.03 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"% Female Smoke","0.03 ","0.05 ","0.06 ","0.08 ","0.05 "
"","(0.13)","(0.14)","(0.14)","(0.14)","(0.14)"
"% Male Smoke","-0.04 ","-0.03 ","-0.04 ","-0.03 ","-0.04 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's Labor","0.08 ","0.07 ","0.07 ","0.07 ","0.08 "
"","(0.13)","(0.14)","(0.14)","(0.14)","(0.14)"
"Women's rights","0.05 ","0.05 ","0.06 ","0.06 ","0.06 "
"","(0.10)","(0.11)","(0.11)","(0.11)","(0.11)"
"Population","0.39 ***","0.41 ***","0.40 ***","0.36 ***","0.41 ***"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.11)"
"Government Ownership","0.01 ","0.06 ","0.08 ","-0.04 ","0.06 "
"","(0.27)","(0.27)","(0.27)","(0.28)","(0.27)"
"Year 2014","-1.61 *","1.00 ***","0.94 ***","0.58 ***","0.74 ***"
"","(0.85)","(0.26)","(0.22)","(0.20)","(0.21)"
"Year 2016","-1.78 **","0.27 ","0.39 ","0.55 ***","0.72 ***"
"","(0.90)","(0.42)","(0.32)","(0.20)","(0.21)"
"Health Exp.","-0.15 ","-0.11 ","-0.11 ","-0.13 ","-0.13 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
