"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.73 **","0.01 ","-0.02 ","0.04 ","0.11 **"
"","(0.31)","(0.11)","(0.07)","(0.04)","(0.05)"
"Lagged Y (Number of Items)","0.58 ***","0.57 ***","0.57 ***","0.57 ***","0.56 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-2.26 *","-3.28 ***","-3.31 ***","-3.32 ***","-3.65 ***"
"","(1.16)","(1.09)","(1.09)","(1.09)","(1.09)"
"African","-1.81 *","-2.30 **","-2.34 **","-2.33 **","-2.51 **"
"","(1.06)","(1.05)","(1.06)","(1.05)","(1.04)"
"European","-1.91 *","-1.78 *","-1.80 *","-1.87 *","-2.27 **"
"","(1.06)","(1.06)","(1.06)","(1.06)","(1.08)"
"South-East Asia","-1.30 ","-1.10 ","-1.11 ","-1.22 ","-1.29 "
"","(1.05)","(1.05)","(1.05)","(1.06)","(1.04)"
"Western Pacific","-0.36 ","-0.55 ","-0.56 ","-0.62 ","-0.85 "
"","(1.03)","(1.04)","(1.04)","(1.04)","(1.04)"
"Democracy (POLITY)","-0.11 ","-0.12 ","-0.12 ","-0.11 ","-0.10 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","0.11 ","0.14 ","0.15 ","0.13 ","0.11 "
"","(0.56)","(0.56)","(0.56)","(0.56)","(0.55)"
"Tobacco Prod. per capita","-0.10 ","-0.12 ","-0.12 ","-0.10 ","-0.09 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","3.68 ","4.38 ","4.39 ","4.23 ","4.31 "
"","(2.91)","(2.93)","(2.93)","(2.92)","(2.89)"
"% Male Smoke","-3.14 *","-3.44 *","-3.46 *","-3.31 *","-3.06 "
"","(1.90)","(1.90)","(1.89)","(1.90)","(1.90)"
"Women's Labor","0.04 ","0.04 ","0.04 ","0.04 ","0.05 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.03 ","0.03 *","0.03 *","0.03 *","0.03 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"PolShift","0.23 ","0.23 ","0.23 ","0.23 ","0.22 "
"","(0.48)","(0.49)","(0.49)","(0.49)","(0.48)"
"Bloomberg FCTC #","-0.17 ","-0.14 ","-0.15 ","-0.14 ","-0.16 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"Government Ownership","-0.11 ","0.12 ","0.13 ","0.03 ","-0.06 "
"","(0.61)","(0.60)","(0.60)","(0.61)","(0.60)"
"Control of Corruption","-0.38 ","-0.37 ","-0.39 ","-0.27 ","-0.09 "
"","(0.56)","(0.57)","(0.57)","(0.58)","(0.57)"
"Rule of Law","-0.57 ","-0.57 ","-0.56 ","-0.71 ","-0.89 "
"","(0.68)","(0.69)","(0.69)","(0.70)","(0.69)"
"Health Exp. per capita (ppp)","0.26 ","0.29 ","0.28 ","0.30 ","0.34 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.42)"
"Years since Sign.","0.17 ","0.20 ","0.20 ","0.18 ","0.16 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Ratif.","0.05 ","0.05 ","0.05 ","0.04 ","0.01 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.64 **","-0.02 ","-0.22 ","-0.16 ","-0.24 "
"","(0.78)","(0.90)","(0.61)","(0.42)","(0.42)"
"Year 2016","-2.78 ***","-1.06 **","-1.00 **","-1.07 **","-1.04 **"
"","(0.87)","(0.48)","(0.46)","(0.44)","(0.44)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes Bloomberg FCTC count, Political Shifts, and a lagged number of items implemented. "
