"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.17 ","-0.27 ","-0.16 ","-0.05 ","-0.02 "
"","(0.27)","(0.19)","(0.14)","(0.08)","(0.08)"
"Article 6","0.38 ","0.28 ","0.31 **","0.24 **","0.12 "
"","(0.24)","(0.22)","(0.15)","(0.10)","(0.10)"
"Article 8","1.19 ***","0.31 ","0.25 ","0.22 **","0.02 "
"","(0.41)","(0.25)","(0.18)","(0.09)","(0.10)"
"Article 11","3.58 ***","0.37 ","0.19 ","0.25 ","0.30 "
"","(0.74)","(0.62)","(0.41)","(0.25)","(0.25)"
"Article 13","0.47 ","-0.26 ","-0.33 ","-0.05 ","0.35 "
"","(0.54)","(0.55)","(0.37)","(0.25)","(0.24)"
"Article 14","-0.08 ","-2.33 **","0.40 ","0.13 ","0.51 "
"","(1.41)","(1.18)","(0.82)","(0.54)","(0.51)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
