"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.10 ","-0.30 ","-0.17 ","-0.06 ","-0.03 "
"","(0.26)","(0.19)","(0.14)","(0.08)","(0.08)"
"Article 6","0.33 ","0.28 ","0.31 **","0.23 **","0.12 "
"","(0.23)","(0.22)","(0.15)","(0.10)","(0.10)"
"Article 8","1.30 ***","0.31 ","0.25 ","0.22 **","0.03 "
"","(0.41)","(0.25)","(0.18)","(0.09)","(0.10)"
"Article 11","3.65 ***","0.43 ","0.17 ","0.25 ","0.30 "
"","(0.73)","(0.61)","(0.41)","(0.24)","(0.24)"
"Article 13","0.47 ","-0.27 ","-0.32 ","-0.04 ","0.36 "
"","(0.53)","(0.55)","(0.37)","(0.24)","(0.24)"
"Article 14","-0.54 ","-2.24 *","0.42 ","0.17 ","0.58 "
"","(1.39)","(1.19)","(0.82)","(0.54)","(0.51)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
