"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.22 ","-0.09 ","-0.06 ","-0.00 ","0.03 "
"","(0.27)","(0.08)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.43 ***","0.43 ***","0.43 ***","0.43 ***","0.43 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-0.58 ","-0.68 *","-0.72 *","-0.68 *","-0.76 *"
"","(0.40)","(0.38)","(0.38)","(0.38)","(0.39)"
"African","-0.25 ","-0.34 ","-0.36 ","-0.29 ","-0.33 "
"","(0.37)","(0.37)","(0.37)","(0.36)","(0.37)"
"European","-0.50 ","-0.50 ","-0.52 ","-0.47 ","-0.56 "
"","(0.38)","(0.38)","(0.38)","(0.38)","(0.39)"
"South-East Asia","-0.67 *","-0.56 ","-0.62 ","-0.60 ","-0.64 *"
"","(0.39)","(0.38)","(0.38)","(0.38)","(0.38)"
"Western Pacific","-0.60 ","-0.52 ","-0.57 ","-0.57 ","-0.64 *"
"","(0.37)","(0.37)","(0.37)","(0.37)","(0.37)"
"Democracy (POLITY)","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.04)"
"GDP per capita (ppp)","0.04 ","0.07 ","0.06 ","0.05 ","0.04 "
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"Tobacco Prod. per capita","-0.00 ","-0.00 ","-0.00 ","-0.00 ","0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.93 ","-0.78 ","-0.84 ","-0.85 ","-0.87 "
"","(1.05)","(1.04)","(1.04)","(1.04)","(1.03)"
"% Male Smoke","0.30 ","0.21 ","0.27 ","0.28 ","0.36 "
"","(0.67)","(0.67)","(0.67)","(0.67)","(0.68)"
"Women's Labor","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg #","0.04 ","0.04 ","0.04 ","0.04 ","0.05 "
"","(0.05)","(0.05)","(0.05)","(0.05)","(0.05)"
"Government Ownership","0.26 ","0.30 ","0.30 ","0.30 ","0.27 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"Control of Corruption","-0.13 ","-0.16 ","-0.15 ","-0.14 ","-0.09 "
"","(0.20)","(0.20)","(0.20)","(0.21)","(0.20)"
"Rule of Law","0.08 ","0.10 ","0.09 ","0.09 ","0.02 "
"","(0.24)","(0.24)","(0.24)","(0.25)","(0.25)"
"Health Exp. per capita (ppp)","0.04 ","0.03 ","0.04 ","0.04 ","0.05 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Sign.","0.05 ","0.05 ","0.06 ","0.05 ","0.04 "
"","(0.05)","(0.05)","(0.05)","(0.05)","(0.05)"
"Years since Ratif.","0.06 ","0.06 ","0.06 ","0.06 ","0.05 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.41 ","-0.37 ","-0.22 ","-0.05 ","-0.06 "
"","(0.47)","(0.32)","(0.23)","(0.16)","(0.16)"
"Year 2016","-0.64 ","-0.20 ","-0.22 ","-0.29 *","-0.28 "
"","(0.46)","(0.19)","(0.18)","(0.17)","(0.17)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
