"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.01 ","-0.00 ","0.07 ","-0.00 ","0.05 *"
"","(0.27)","(0.09)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.67 ***","0.67 ***","0.67 ***","0.67 ***","0.67 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.46 ","0.45 ","0.75 ","0.45 ","-0.06 "
"","(2.09)","(2.06)","(2.07)","(2.06)","(2.08)"
"African","-0.45 ","-0.47 ","-0.05 ","-0.46 ","-0.71 "
"","(2.02)","(1.99)","(2.01)","(1.99)","(1.98)"
"European","0.56 ","0.58 ","0.77 ","0.60 ","-0.09 "
"","(2.14)","(2.10)","(2.10)","(2.11)","(2.13)"
"South-East Asia","0.61 ","0.63 ","0.58 ","0.65 ","0.43 "
"","(2.05)","(2.06)","(2.04)","(2.07)","(2.04)"
"Western Pacific","1.30 ","1.31 ","1.05 ","1.32 ","0.96 "
"","(2.03)","(2.05)","(2.02)","(2.04)","(2.03)"
"Democracy (POLITY)","-0.13 ","-0.13 ","-0.14 ","-0.13 ","-0.09 "
"","(0.20)","(0.20)","(0.19)","(0.20)","(0.20)"
"GDP per capita (ppp)","0.36 ","0.37 ","0.32 ","0.38 ","0.33 "
"","(1.07)","(1.07)","(1.06)","(1.07)","(1.07)"
"Tobacco Prod. per capita","-0.12 ","-0.12 ","-0.12 ","-0.12 ","-0.08 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"% Female Smoke","-1.17 ","-1.10 ","-1.35 ","-1.07 ","-1.27 "
"","(5.74)","(5.65)","(5.59)","(5.65)","(5.58)"
"% Male Smoke","1.15 ","1.13 ","1.34 ","1.13 ","1.63 "
"","(3.98)","(3.99)","(3.95)","(3.98)","(4.01)"
"Women's Labor","-0.00 ","-0.00 ","-0.00 ","-0.00 ","0.01 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Women's rights","0.03 ","0.03 ","0.03 ","0.03 ","0.03 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"PolShift","-0.29 ","-0.29 ","-0.30 ","-0.29 ","-0.30 "
"","(1.05)","(1.05)","(1.05)","(1.05)","(1.07)"
"Bloomberg FCTC #","0.12 ","0.12 ","0.09 ","0.12 ","0.09 "
"","(0.80)","(0.80)","(0.80)","(0.80)","(0.80)"
"Government Ownership","0.12 ","0.13 ","0.17 ","0.15 ","-0.17 "
"","(1.17)","(1.16)","(1.15)","(1.18)","(1.17)"
"Control of Corruption","-0.58 ","-0.58 ","-0.60 ","-0.60 ","-0.13 "
"","(1.07)","(1.07)","(1.07)","(1.09)","(1.10)"
"Rule of Law","0.25 ","0.25 ","0.33 ","0.27 ","-0.24 "
"","(1.31)","(1.31)","(1.31)","(1.33)","(1.33)"
"Health Exp. per capita (ppp)","1.63 **","1.63 **","1.62 **","1.62 **","1.72 **"
"","(0.81)","(0.81)","(0.80)","(0.81)","(0.82)"
"Years since Sign.","0.39 ","0.39 ","0.36 ","0.40 ","0.34 "
"","(0.29)","(0.29)","(0.29)","(0.29)","(0.29)"
"Years since Ratif.","-0.32 ","-0.32 ","-0.30 ","-0.32 ","-0.38 *"
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Year 2014","-1.38 ","-1.33 ","-0.38 ","-1.28 ","-1.51 *"
"","(1.82)","(1.48)","(1.10)","(0.82)","(0.82)"
"Year 2016","-2.93 ","-2.81 **","-3.35 ***","-2.83 ***","-2.87 ***"
"","(2.03)","(1.14)","(0.96)","(0.87)","(0.86)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes Bloomberg FCTC count, Political Shifts, and a lagged number of items implemented. "
