"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.25 ","-0.09 ","-0.05 ","0.01 ","0.04 "
"","(0.27)","(0.08)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.44 ***","0.44 ***","0.44 ***","0.44 ***","0.44 ***"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Americas","-0.54 ","-0.66 *","-0.69 *","-0.66 *","-0.72 **"
"","(0.38)","(0.36)","(0.36)","(0.36)","(0.36)"
"African","-0.22 ","-0.31 ","-0.32 ","-0.27 ","-0.32 "
"","(0.37)","(0.37)","(0.37)","(0.36)","(0.36)"
"European","-0.51 ","-0.49 ","-0.51 ","-0.48 ","-0.57 "
"","(0.37)","(0.37)","(0.37)","(0.37)","(0.38)"
"South-East Asia","-0.62 ","-0.51 ","-0.56 ","-0.55 ","-0.58 "
"","(0.38)","(0.37)","(0.37)","(0.37)","(0.37)"
"Western Pacific","-0.56 ","-0.49 ","-0.53 ","-0.54 ","-0.61 *"
"","(0.36)","(0.36)","(0.36)","(0.36)","(0.36)"
"Democracy (POLITY)","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"GDP per capita (ppp)","0.05 ","0.08 ","0.07 ","0.06 ","0.05 "
"","(0.19)","(0.20)","(0.19)","(0.19)","(0.19)"
"Tobacco Prod. per capita","0.00 ","-0.00 ","-0.00 ","-0.00 ","0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.93 ","-0.75 ","-0.81 ","-0.84 ","-0.87 "
"","(1.04)","(1.03)","(1.03)","(1.03)","(1.02)"
"% Male Smoke","0.30 ","0.21 ","0.26 ","0.30 ","0.39 "
"","(0.62)","(0.62)","(0.61)","(0.63)","(0.63)"
"Women's Labor","0.00 ","0.00 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Government Ownership","0.30 ","0.34 ","0.34 ","0.32 ","0.30 "
"","(0.22)","(0.21)","(0.21)","(0.22)","(0.21)"
"Health Exp. per capita (ppp)","0.01 ","-0.01 ","0.00 ","0.01 ","0.02 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"Years since Ratif.","0.07 *","0.07 **","0.07 **","0.07 *","0.06 *"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.47 ","-0.37 ","-0.21 ","-0.07 ","-0.07 "
"","(0.46)","(0.32)","(0.23)","(0.16)","(0.16)"
"Year 2016","-0.72 ","-0.23 ","-0.26 ","-0.32 *","-0.31 *"
"","(0.46)","(0.18)","(0.18)","(0.17)","(0.17)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
